codigo;Nome;rebanho_Censo2017;Novo_Nome;rebanho_PPM2020
2209377;Santa Rosa do Piau√≠;5.429;Santa Rosa do PiauÌ;5551
2209351;Santana do Piau√≠;942;Santana do PiauÌ;924
2209401;Santo Ant√¥nio de Lisboa;2.64;Santo AntÙnio de Lisboa;2645
2209450;Santo Ant√¥nio dos Milagres;209;Santo AntÙnio dos Milagres;267
2209500;Santo In√°cio do Piau√≠;5.3;Santo In·cio do PiauÌ;4895
2209559;S√£o Braz do Piau√≠;1.303;S„o Braz do PiauÌ;1271
2209609;S√£o F√©lix do Piau√≠;6.039;S„o FÈlix do PiauÌ;5902
2209658;S√£o Francisco de Assis do Piau√≠;3.982;S„o Francisco de Assis do PiauÌ;4065
2209708;S√£o Francisco do Piau√≠;5.943;S„o Francisco do PiauÌ;6092
2209757;S√£o Gon√ßalo do Gurgu√©ia;6.253;S„o GonÁalo do GurguÈia;6113
2209807;S√£o Gon√ßalo do Piau√≠;2.392;S„o GonÁalo do PiauÌ;2419
2209856;S√£o Jo√£o da Canabrava;1.201;S„o Jo„o da Canabrava;1189
2209872;S√£o Jo√£o da Fronteira;2.983;S„o Jo„o da Fronteira;3067
2209906;S√£o Jo√£o da Serra;8.812;S„o Jo„o da Serra;8634
2209955;S√£o Jo√£o da Varjota;1.468;S„o Jo„o da Varjota;1498
2209971;S√£o Jo√£o do Arraial;2.325;S„o Jo„o do Arraial;2281
2210003;S√£o Jo√£o do Piau√≠;6.28;S„o Jo„o do PiauÌ;6421
2210052;S√£o Jos√© do Divino;8.545;S„o JosÈ do Divino;9006
2210102;S√£o Jos√© do Peixe;6.126;S„o JosÈ do Peixe;6051
2210201;S√£o Jos√© do Piau√≠;3.42;S„o JosÈ do PiauÌ;3338
2210300;S√£o Juli√£o;2.878;S„o Juli„o;2815
2210359;S√£o Louren√ßo do Piau√≠;1.947;S„o LourenÁo do PiauÌ;1892
2210375;S√£o Luis do Piau√≠;1.537;S„o Luis do PiauÌ;1510
2210383;S√£o Miguel da Baixa Grande;2.354;S„o Miguel da Baixa Grande;2517
2210391;S√£o Miguel do Fidalgo;3.455;S„o Miguel do Fidalgo;3456
2210409;S√£o Miguel do Tapuio;16.06;S„o Miguel do Tapuio;15705
2210508;S√£o Pedro do Piau√≠;6.418;S„o Pedro do PiauÌ;6463
2210607;S√£o Raimundo Nonato;4.562;S„o Raimundo Nonato;4397
2210623;Sebasti√£o Barros;16.939;Sebasti„o Barros;17291
2210631;Sebasti√£o Leal;7.888;Sebasti„o Leal;7951
2210656;Sigefredo Pacheco;7.211;Sigefredo Pacheco;7122
2210706;Sim√µes;7.404;Simıes;7484
2210805;Simpl√≠cio Mendes;9.933;SimplÌcio Mendes;10152
2210904;Socorro do Piau√≠;3.667;Socorro do PiauÌ;3750
2210938;Sussuapara;2.221;Sussuapara;2116
2210953;Tamboril do Piau√≠;2.587;Tamboril do PiauÌ;2524
2210979;Tanque do Piau√≠;1.233;Tanque do PiauÌ;1256
2211001;Teresina;9.627;Teresina;10449
2211100;Uni√£o;10.153;Uni„o;10140
2211209;Uru√ßu√≠;20.823;UruÁuÌ;20604
2211308;Valen√ßa do Piau√≠;6.771;ValenÁa do PiauÌ;6649
2211357;V√°rzea Branca;2.541;V·rzea Branca;2450
2211407;V√°rzea Grande;1.542;V·rzea Grande;1650
2211506;Vera Mendes;2.286;Vera Mendes;2231
2211605;Vila Nova do Piau√≠;3.568;Vila Nova do PiauÌ;3402
2211704;Wall Ferraz;3.555;Wall Ferraz;3639
