codigo;Nome;rebanho_Censo2017;Novo_Nome;rebanho_PPM2020
2109056;Porto Rico do Maranh√£o;334;Porto Rico do Maranh„o;1167
2109106;Presidente Dutra;34.823;Presidente Dutra;67930
2109205;Presidente Juscelino;271;Presidente Juscelino;870
2109239;Presidente M√©dici;12.8;Presidente MÈdici;29200
2109270;Presidente Sarney;9.335;Presidente Sarney;5256
2109304;Presidente Vargas;890;Presidente Vargas;1338
2109403;Primeira Cruz;518;Primeira Cruz;1359
2109452;Raposa;243;Raposa;437
2109502;Riach√£o;87.14;Riach„o;119378
2109551;Ribamar Fiquene;35.894;Ribamar Fiquene;59154
2109601;Ros√°rio;428;Ros·rio;1199
2109700;Samba√≠ba;13.97;SambaÌba;23927
2109759;Santa Filomena do Maranh√£o;17.206;Santa Filomena do Maranh„o;22598
2109809;Santa Helena;17.196;Santa Helena;14274
2109908;Santa In√™s;31.889;Santa InÍs;67744
2110005;Santa Luzia;136.724;Santa Luzia;249087
2110039;Santa Luzia do Paru√°;31.768;Santa Luzia do Paru·;63459
2110104;Santa Quit√©ria do Maranh√£o;2.881;Santa QuitÈria do Maranh„o;5670
2110203;Santa Rita;8.066;Santa Rita;16655
2110237;Santana do Maranh√£o;1.044;Santana do Maranh„o;4215
2110278;Santo Amaro do Maranh√£o;752;Santo Amaro do Maranh„o;1551
2110302;Santo Ant√¥nio dos Lopes;23.008;Santo AntÙnio dos Lopes;21619
2110401;S√£o Benedito do Rio Preto;1.005;S„o Benedito do Rio Preto;1150
2110500;S√£o Bento;4.352;S„o Bento;5245
2110609;S√£o Bernardo;5.453;S„o Bernardo;12866
2110658;S√£o Domingos do Azeit√£o;6.761;S„o Domingos do Azeit„o;8044
2110708;S√£o Domingos do Maranh√£o;30;S„o Domingos do Maranh„o;61548
2110807;S√£o F√©lix de Balsas;11.535;S„o FÈlix de Balsas;17828
2110856;S√£o Francisco do Brej√£o;58.67;S„o Francisco do Brej„o;68617
2110906;S√£o Francisco do Maranh√£o;8.038;S„o Francisco do Maranh„o;19518
2111003;S√£o Jo√£o Batista;12.246;S„o Jo„o Batista;10921
2111029;S√£o Jo√£o do Car√∫;18.362;S„o Jo„o do Car˙;43869
2111052;S√£o Jo√£o do Para√≠so;78.955;S„o Jo„o do ParaÌso;109188
2111078;S√£o Jo√£o do Soter;4.536;S„o Jo„o do Soter;11230
2111102;S√£o Jo√£o dos Patos;11.404;S„o Jo„o dos Patos;31714
2111201;S√£o Jos√© de Ribamar;668;S„o JosÈ de Ribamar;1202
2111250;S√£o Jos√© dos Bas√≠lios;10.901;S„o JosÈ dos BasÌlios;14406
2111300;S√£o Lu√≠s;446;S„o LuÌs;1178
2111409;S√£o Lu√≠s Gonzaga do Maranh√£o;41.038;S„o LuÌs Gonzaga do Maranh„o;76220
2111508;S√£o Mateus do Maranh√£o;17.531;S„o Mateus do Maranh„o;40343
2111532;S√£o Pedro da √Ågua Branca;31.607;S„o Pedro da ¡gua Branca;26062
2111573;S√£o Pedro dos Crentes;37.315;S„o Pedro dos Crentes;62347
2111607;S√£o Raimundo das Mangabeiras;19.83;S„o Raimundo das Mangabeiras;37788
2111631;S√£o Raimundo do Doca Bezerra;17.641;S„o Raimundo do Doca Bezerra;8797
2111672;S√£o Roberto;9.189;S„o Roberto;8267
2111706;S√£o Vicente Ferrer;5.009;S„o Vicente Ferrer;7599
2111722;Satubinha;16.247;Satubinha;25522
2111748;Senador Alexandre Costa;9.15;Senador Alexandre Costa;16833
2111763;Senador La Rocque;49.366;Senador La Rocque;94780
2111789;Serrano do Maranh√£o;1.928;Serrano do Maranh„o;5989
2111805;S√≠tio Novo;90.458;SÌtio Novo;148387
2111904;Sucupira do Norte;11.647;Sucupira do Norte;17954
2111953;Sucupira do Riach√£o;3.771;Sucupira do Riach„o;9746
2112001;Tasso Fragoso;10.625;Tasso Fragoso;20084
2112100;Timbiras;7.241;Timbiras;10260
2112209;Timon;9.081;Timon;21100
2112233;Trizidela do Vale;6.542;Trizidela do Vale;12487
2112274;Tufil√¢ndia;8.737;Tufil‚ndia;17240
2112308;Tuntum;107.241;Tuntum;132127
2112407;Turia√ßu;10.717;TuriaÁu;11016
2112456;Turil√¢ndia;12.346;Turil‚ndia;29083
2112506;Tut√≥ia;3.974;TutÛia;2725
2112605;Urbano Santos;1.484;Urbano Santos;1200
2112704;Vargem Grande;6.623;Vargem Grande;18420
2112803;Viana;14.189;Viana;20075
2112852;Vila Nova dos Mart√≠rios;67.817;Vila Nova dos MartÌrios;87378
2112902;Vit√≥ria do Mearim;15.537;VitÛria do Mearim;25573
2113009;Vitorino Freire;66.724;Vitorino Freire;87945
2114007;Z√© Doca;52.85;ZÈ Doca;137720
