"","codigo","Nome","rebanho_Censo2017","Novo_Nome","rebanho_PPM2020"
"324",2926202,"Riach√£o das Neves",62278,"Riach„o das Neves",97888
"325",2926301,"Riach√£o do Jacu√≠pe",32389,"Riach„o do JacuÌpe",37355
"326",2926400,"Riacho de Santana",48524,"Riacho de Santana",81802
"327",2926509,"Ribeira do Amparo",14184,"Ribeira do Amparo",12228
"328",2926608,"Ribeira do Pombal",35913,"Ribeira do Pombal",41544
"329",2926657,"Ribeir√£o do Largo",53831,"Ribeir„o do Largo",58963
"330",2926707,"Rio de Contas",6416,"Rio de Contas",4849
"331",2926806,"Rio do AntÙnio",13372,"Rio do AntÙnio",13333
"332",2926905,"Rio do Pires",10264,"Rio do Pires",10412
"333",2927002,"Rio Real",25412,"Rio Real",32912
"334",2927101,"Rodelas",844,"Rodelas",503
"335",2927200,"Ruy Barbosa",35844,"Ruy Barbosa",37479
"336",2927309,"Salinas da Margarida",160,"Salinas da Margarida",300
"337",2927408,"Salvador",67,"Salvador",95
"338",2927507,"Santa B√°rbara",5.63,"Santa B·rbara",10820
"339",2927606,"Santa Br√≠gida",16246,"Santa BrÌgida",15469
"340",2927705,"Santa Cruz Cabr√°lia",17839,"Santa Cruz Cabr·lia",13358
"341",2927804,"Santa Cruz da Vit√≥ria",24401,"Santa Cruz da VitÛria",28902
"342",2927903,"Santa In√™s",1619,"Santa InÍs",3009
"343",2928059,"Santa Luzia",9454,"Santa Luzia",7865
"344",2928109,"Santa Maria da Vit√≥ria",40.69,"Santa Maria da VitÛria",77705
"345",2928406,"Santa Rita de C√°ssia",83529,"Santa Rita de C·ssia",70202
"346",2928505,"Santa Teresinha",6878,"Santa Teresinha",5370
"347",2928000,"Santaluz",21573,"Santaluz",26209
"348",2928208,"Santana",40.44,"Santana",107081
"349",2928307,"Santan√≥polis",5.19,"SantanÛpolis",6306
"350",2928604,"Santo Amaro",12235,"Santo Amaro",15357
"351",2928703,"Santo AntÙnio de Jesus",10206,"Santo AntÙnio de Jesus",15172
"352",2928802,"Santo Est√™v√£o",8757,"Santo EstÍv„o",8809
"353",2928901,"S√£o DesidÈrio",62959,"S„o DesidÈrio",62793
"354",2928950,"S√£o Domingos",6741,"S„o Domingos",5964
"355",2929107,"S√£o Felipe",11255,"S„o Felipe",9937
"356",2929008,"S√£o FÈlix",4816,"S„o FÈlix",3804
"357",2929057,"S√£o FÈlix do Coribe",35403,"S„o FÈlix do Coribe",54100
"358",2929206,"S√£o Francisco do Conde",5976,"S„o Francisco do Conde",6537
"359",2929255,"S√£o Gabriel",4236,"S„o Gabriel",5537
"360",2929305,"S√£o Gon√ßalo dos Campos",10896,"S„o GonÁalo dos Campos",11310
"361",2929354,"S√£o JosÈ da Vit√≥ria",2037,"S„o JosÈ da VitÛria",2886
"362",2929370,"S√£o JosÈ do Jacu√≠pe",11.85,"S„o JosÈ do JacuÌpe",11602
"363",2929404,"S√£o Miguel das Matas",8542,"S„o Miguel das Matas",8689
"364",2929503,"S√£o Sebasti√£o do PassÈ",22.05,"S„o Sebasti„o do PassÈ",30657
"365",2929602,"Sapea√ßu",5.24,"SapeaÁu",5279
"366",2929701,"S√°tiro Dias",12827,"S·tiro Dias",12537
"367",2929750,"Saubara",154,"Saubara",282
"368",2929800,"Sa˙de",7894,"Sa˙de",7410
"369",2929909,"Seabra",11125,"Seabra",10064
"370",2930006,"Sebasti√£o Laranjeiras",24109,"Sebasti„o Laranjeiras",31184
"371",2930105,"Senhor do Bonfim",13529,"Senhor do Bonfim",14582
"372",2930204,"Sento SÈ",25853,"Sento SÈ",18806
"373",2930154,"Serra do Ramalho",60635,"Serra do Ramalho",78735
"374",2930303,"Serra Dourada",52407,"Serra Dourada",81605
"375",2930402,"Serra Preta",19.26,"Serra Preta",27145
"376",2930501,"Serrinha",11655,"Serrinha",15671
"377",2930600,"Serrol√¢ndia",7577,"Serrol‚ndia",8778
"378",2930709,"Sim√µes Filho",655,"Simıes Filho",904
"379",2930758,"S√≠tio do Mato",35.2,"SÌtio do Mato",45469
"380",2930766,"S√≠tio do Quinto",21563,"SÌtio do Quinto",18617
"381",2930774,"Sobradinho",2388,"Sobradinho",3732
"382",2930808,"Souto Soares",3719,"Souto Soares",2494
"383",2930907,"Tabocas do Brejo Velho",25224,"Tabocas do Brejo Velho",34281
"384",2931004,"Tanha√ßu",23351,"TanhaÁu",26956
"385",2931053,"Tanque Novo",11882,"Tanque Novo",7339
"386",2931103,"Tanquinho",7.08,"Tanquinho",6697
"387",2931202,"Tapero√°",592,"Tapero·",458
"388",2931301,"Tapiramut√°",18921,"Tapiramut·",19805
"389",2931350,"Teixeira de Freitas",79358,"Teixeira de Freitas",79305
"390",2931400,"Teodoro Sampaio",8.39,"Teodoro Sampaio",11316
"391",2931509,"Teofil√¢ndia",9684,"Teofil‚ndia",10100
"392",2931608,"Teol√¢ndia",1849,"Teol‚ndia",1416
"393",2931707,"Terra Nova",11401,"Terra Nova",17394
"394",2931806,"Tremedal",23124,"Tremedal",30821
"395",2931905,"Tucano",31176,"Tucano",28596
"396",2932002,"Uau√°",9004,"Uau·",2477
"397",2932101,"Uba√≠ra",14706,"UbaÌra",16990
